© 2000-2020 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Thyroid Hormone Metabolism II (via Conjugation and/or Degradation)	4.08E-01	2.63E-02	NaN	SULT1A1	
IGF-1 Signaling	4.08E-01	1.92E-02	NaN	RASD2,SHC1	
T Cell Receptor Signaling	4.03E-01	1.9E-02	NaN	CD8A,RASD2	
Inhibition of Matrix Metalloproteases	3.99E-01	2.56E-02	NaN	MMP16	
Antigen Presentation Pathway	3.99E-01	2.56E-02	NaN	MR1	
PD-1, PD-L1 cancer immunotherapy pathway	3.98E-01	1.89E-02	NaN	MR1,TNFRSF1B	
RhoGDI Signaling	3.84E-01	1.67E-02	NaN	CDH15,CDH5,PAK6	
nNOS Signaling in Skeletal Muscle Cells	3.83E-01	2.44E-02	NaN	CACNA1E	
Estrogen Biosynthesis	3.83E-01	2.44E-02	NaN	CYP1A1	
HGF Signaling	3.75E-01	1.8E-02	NaN	CDKN1A,RASD2	
Triacylglycerol Biosynthesis	3.75E-01	2.38E-02	NaN	GPAT3	
Rac Signaling	3.7E-01	1.79E-02	NaN	PAK6,RASD2	
Phospholipase C Signaling	3.7E-01	1.56E-02	NaN	ADCY2,ADCY8,RASD2,SHC1	
BAG2 Signaling Pathway	3.68E-01	2.33E-02	NaN	CDKN1A	
NGF Signaling	3.61E-01	1.75E-02	NaN	RASD2,SHC1	
Glucocorticoid Receptor Signaling	3.57E-01	1.49E-02	NaN	CDKN1A,KRT18,NOS2,RASD2,SHC1	
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	3.57E-01	1.6E-02	NaN	APOC1,NOS2,TNFRSF1B	
NRF2-mediated Oxidative Stress Response	3.53E-01	1.59E-02	NaN	HSPB8,MAP2K6,RASD2	
Role of PKR in Interferon Induction and Antiviral Response	3.48E-01	1.71E-02	NaN	MAP2K6,PDGFB	
Role of Tissue Factor in Cancer	3.48E-01	1.71E-02	NaN	PLAUR,RASD2	
Role of Oct4 in Mammalian Embryonic Stem Cell Pluripotency	3.46E-01	2.17E-02	NaN	SPP1	
FAT10 Cancer Signaling Pathway	3.46E-01	2.17E-02	NaN	TNFRSF1B	
PFKFB4 Signaling Pathway	3.46E-01	2.17E-02	NaN	MAP2K6	
Regulation of the Epithelial-Mesenchymal Transition Pathway	3.43E-01	1.56E-02	NaN	FGF14,MAP2K6,RASD2	
ERK/MAPK Signaling	3.4E-01	1.55E-02	NaN	PAK6,RASD2,SHC1	
GP6 Signaling Pathway	3.4E-01	1.68E-02	NaN	COL8A2,COL9A1	
Triacylglycerol Degradation	3.39E-01	2.13E-02	NaN	RPE65	
Chondroitin Sulfate Biosynthesis (Late Stages)	3.33E-01	2.08E-02	NaN	SULT1A1	
Inhibition of ARE-Mediated mRNA Degradation Pathway	3.28E-01	1.64E-02	NaN	TNFRSF1B,ZNF331	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	3.26E-01	2.04E-02	NaN	CDKN1A	
RhoA Signaling	3.24E-01	1.63E-02	NaN	LPAR4,MYLK3	
CCR3 Signaling in Eosinophils	3.2E-01	1.61E-02	NaN	PAK6,RASD2	
Primary Immunodeficiency Signaling	3.2E-01	2E-02	NaN	CD8A	
TNFR1 Signaling	3.2E-01	2E-02	NaN	PAK6	
IL-8 Signaling	3.19E-01	1.5E-02	NaN	IRAK2,ITGAX,RASD2	
Phagosome Formation	3.16E-01	1.6E-02	NaN	C5AR1,ITGAX	
UVC-Induced MAPK Signaling	3.13E-01	1.96E-02	NaN	RASD2	
FXR/RXR Activation	3.12E-01	1.59E-02	NaN	APOC1,PPARGC1A	
14-3-3-mediated Signaling	3.09E-01	1.57E-02	NaN	RASD2,TUBA4A	
Synaptic Long Term Potentiation	3.02E-01	1.55E-02	NaN	ADCY8,RASD2	
CD27 Signaling in Lymphocytes	3.02E-01	1.89E-02	NaN	MAP2K6	
p70S6K Signaling	3.02E-01	1.55E-02	NaN	RASD2,SHC1	
Phototransduction Pathway	3.02E-01	1.89E-02	NaN	OPN3	
IL-12 Signaling and Production in Macrophages	2.91E-01	1.52E-02	NaN	APOC1,NOS2	
EGF Signaling	2.91E-01	1.82E-02	NaN	SHC1	
Nicotine Degradation III	2.86E-01	1.79E-02	NaN	CYP1A1	
CNTF Signaling	2.8E-01	1.75E-02	NaN	RASD2	
Role of CHK Proteins in Cell Cycle Checkpoint Control	2.8E-01	1.75E-02	NaN	CDKN1A	
Glutamate Receptor Signaling	2.8E-01	1.75E-02	NaN	GRIK2	
MSP-RON Signaling Pathway	2.75E-01	1.72E-02	NaN	NOS2	
Cancer Drug Resistance By Drug Efflux	2.75E-01	1.72E-02	NaN	RASD2	
PI3K Signaling in B Lymphocytes	2.72E-01	1.45E-02	NaN	INPP5D,RASD2	
Endometrial Cancer Signaling	2.65E-01	1.67E-02	NaN	RASD2	
SPINK1 Pancreatic Cancer Pathway	2.65E-01	1.67E-02	NaN	CPM	
Induction of Apoptosis by HIV1	2.6E-01	1.64E-02	NaN	TNFRSF1B	
Autophagy	2.6E-01	1.64E-02	NaN	CTSV	
Activation of IRF by Cytosolic Pattern Recognition Receptors	2.52E-01	1.59E-02	NaN	IFIT2	
Phospholipases	2.52E-01	1.59E-02	NaN	PLAAT4	
CD40 Signaling	2.43E-01	1.54E-02	NaN	MAP2K6	
Netrin Signaling	2.43E-01	1.54E-02	NaN	CACNA1E	
Pyridoxal 5'-phosphate Salvage Pathway	2.43E-01	1.54E-02	NaN	MAP2K6	
Nicotine Degradation II	2.43E-01	1.54E-02	NaN	CYP1A1	
Regulation of Cellular Mechanics by Calpain Protease	2.43E-01	1.54E-02	NaN	RASD2	
Mitotic Roles of Polo-Like Kinase	2.39E-01	1.52E-02	NaN	PLK2	
Cell Cycle: G1/S Checkpoint Regulation	2.34E-01	1.49E-02	NaN	CDKN1A	
Phagosome Maturation	2.34E-01	1.32E-02	NaN	CTSV,TUBA4A	
Remodeling of Epithelial Adherens Junctions	2.31E-01	1.47E-02	NaN	TUBA4A	
IL-10 Signaling	2.26E-01	1.45E-02	NaN	MAP2K6	
SPINK1 General Cancer Pathway	2.26E-01	1.45E-02	NaN	RASD2	
Melatonin Signaling	2.15E-01	1.39E-02	NaN	MAP2K6	
Actin Nucleation by ARP-WASP Complex	2.15E-01	1.39E-02	NaN	RASD2	
Non-Small Cell Lung Cancer Signaling	2.12E-01	1.37E-02	NaN	RASD2	
Estrogen-Dependent Breast Cancer Signaling	2.08E-01	1.35E-02	NaN	RASD2	
Natural Killer Cell Signaling	-0E00	1.02E-02	NaN	PAK6,RASD2	
Mitochondrial Dysfunction	-0E00	5.85E-03	NaN	LRRK2	
Regulation of Actin-based Motility by Rho	-0E00	1.06E-02	NaN	PAK6	
Role of BRCA1 in DNA Damage Response	-0E00	1.25E-02	NaN	CDKN1A	
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	-0E00	1.06E-02	NaN	INPP5D	
Role of NFAT in Regulation of the Immune Response	-0E00	5.52E-03	NaN	RASD2	
NF-κB Activation by Viruses	-0E00	1.22E-02	NaN	RASD2	
CCR5 Signaling in Macrophages	-0E00	1.06E-02	NaN	CACNA1E	
fMLP Signaling in Neutrophils	-0E00	8.62E-03	NaN	RASD2	
CTLA4 Signaling in Cytotoxic T Lymphocytes	-0E00	1.12E-02	NaN	CD8A	
IL-15 Production	-0E00	8.26E-03	NaN	MAP2K6	
Dendritic Cell Maturation	-0E00	5.46E-03	NaN	TNFRSF1B	
Neuropathic Pain Signaling In Dorsal Horn Neurons	-0E00	9.9E-03	NaN	GPR37	
Human Embryonic Stem Cell Pluripotency	-0E00	7.41E-03	NaN	PDGFB	
Aldosterone Signaling in Epithelial Cells	-0E00	6.33E-03	NaN	HSPB8	
mTOR Signaling	-0E00	4.76E-03	NaN	RASD2	
Pancreatic Adenocarcinoma Signaling	-0E00	9.17E-03	NaN	CDKN1A	
Communication between Innate and Adaptive Immune Cells	-0E00	1.04E-02	NaN	CD8A	
Crosstalk between Dendritic Cells and Natural Killer Cells	-0E00	1.12E-02	NaN	TNFRSF1B	
Systemic Lupus Erythematosus Signaling	-0E00	8.73E-03	NaN	INPP5D,RASD2	
EIF2 Signaling	-0E00	8.93E-03	NaN	RASD2,SHC1	
Ovarian Cancer Signaling	-0E00	7.19E-03	NaN	RASD2	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	-0E00	1.11E-02	NaN	SPP1	
Protein Kinase A Signaling	-0E00	1.26E-02	-1.000	ADCY2,ADCY8,H1-2,MYLK3,PTPN3	
Regulation of eIF4 and p70S6K Signaling	-0E00	1.27E-02	NaN	RASD2,SHC1	
RANK Signaling in Osteoclasts	-0E00	1.14E-02	NaN	MAP2K6	
Neuroprotective Role of THOP1 in Alzheimer's Disease	-0E00	8.55E-03	NaN	SERPINA3	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	-0E00	1.12E-02	NaN	RASD2	
PKCθ Signaling in T Lymphocytes	-0E00	1.29E-02	NaN	CACNA1E,RASD2	
Cyclins and Cell Cycle Regulation	-0E00	1.23E-02	NaN	CDKN1A	
Signaling by Rho Family GTPases	-0E00	1.23E-02	NaN	CDH15,CDH5,PAK6	
D-myo-inositol-5-phosphate Metabolism	-0E00	6.41E-03	NaN	ACP5	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	-0E00	7.09E-03	NaN	ACP5	
Superpathway of Inositol Phosphate Compounds	-0E00	1.01E-02	NaN	ACP5,INPP5D	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	-0E00	7.09E-03	NaN	ACP5	
3-phosphoinositide Degradation	-0E00	1.29E-02	NaN	ACP5,INPP5D	
3-phosphoinositide Biosynthesis	-0E00	6.06E-03	NaN	ACP5	
Antioxidant Action of Vitamin C	-0E00	9.17E-03	NaN	PLAAT4	
Sperm Motility	-0E00	8.97E-03	NaN	MAP2K6,PLAAT4	
Tec Kinase Signaling	-0E00	6.1E-03	NaN	PAK6	
Adipogenesis pathway	-0E00	7.46E-03	NaN	DLK1	
Protein Ubiquitination Pathway	-0E00	3.66E-03	NaN	HSPB8	
Chemokine Signaling	-0E00	1.25E-02	NaN	RASD2	
BMP signaling pathway	-0E00	1.18E-02	NaN	RASD2	
IL-7 Signaling Pathway	-0E00	1.28E-02	NaN	SHC1	
Neuroinflammation Signaling Pathway	-0E00	1E-02	NaN	CD200,IRAK2,NOS2	
Th17 Activation Pathway	-0E00	1.1E-02	NaN	IRAK2	
T Cell Exhaustion Signaling Pathway	-0E00	1.14E-02	NaN	RASD2,TBX21	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	-0E00	1.2E-02	1.000	ICOSLG/LOC102723996,MAP2K6,NOS2,RASD2	
Necroptosis Signaling Pathway	-0E00	6.37E-03	NaN	TNFRSF1B	
Calcium Signaling	-0E00	9.71E-03	NaN	CACNA1E,CHRNA9	
