Ingenuity Canonical Pathways, -log(p-value),Ratio,z-score,Molecules
NRF2-mediated Oxidative Stress Response,0.353,0.0159,#NUM!,"HSPB8,MAP2K6,RASD2"
Role of PKR in Interferon Induction and Antiviral Response,0.348,0.0171,#NUM!,"MAP2K6,PDGFB"
Role of Tissue Factor in Cancer,0.348,0.0171,#NUM!,"PLAUR,RASD2"
Role of Oct4 in Mammalian Embryonic Stem Cell Pluripotency,0.346,0.0217,#NUM!,SPP1
FAT10 Cancer Signaling Pathway,0.346,0.0217,#NUM!,TNFRSF1B
PFKFB4 Signaling Pathway,0.346,0.0217,#NUM!,MAP2K6
Regulation of the Epithelial-Mesenchymal Transition Pathway,0.343,0.0156,#NUM!,"FGF14,MAP2K6,RASD2"
ERK/MAPK Signaling,0.34,0.0155,#NUM!,"PAK6,RASD2,SHC1"
GP6 Signaling Pathway,0.34,0.0168,#NUM!,"COL8A2,COL9A1"
Triacylglycerol Degradation,0.339,0.0213,#NUM!,RPE65
Chondroitin Sulfate Biosynthesis (Late Stages),0.333,0.0208,#NUM!,SULT1A1
Inhibition of ARE-Mediated mRNA Degradation Pathway,0.328,0.0164,#NUM!,"TNFRSF1B,ZNF331"
Cell Cycle: G2/M DNA Damage Checkpoint Regulation,0.326,0.0204,#NUM!,CDKN1A
RhoA Signaling,0.324,0.0163,#NUM!,"LPAR4,MYLK3"
CCR3 Signaling in Eosinophils,0.32,0.0161,#NUM!,"PAK6,RASD2"
Primary Immunodeficiency Signaling,0.32,0.02,#NUM!,CD8A
TNFR1 Signaling,0.32,0.02,#NUM!,PAK6
IL-8 Signaling,0.319,0.015,#NUM!,"IRAK2,ITGAX,RASD2"
Phagosome Formation,0.316,0.016,#NUM!,"C5AR1,ITGAX"
UVC-Induced MAPK Signaling,0.313,0.0196,#NUM!,RASD2
FXR/RXR Activation,0.312,0.0159,#NUM!,"APOC1,PPARGC1A"
14-3-3-mediated Signaling,0.309,0.0157,#NUM!,"RASD2,TUBA4A"
Synaptic Long Term Potentiation,0.302,0.0155,#NUM!,"ADCY8,RASD2"
CD27 Signaling in Lymphocytes,0.302,0.0189,#NUM!,MAP2K6
p70S6K Signaling,0.302,0.0155,#NUM!,"RASD2,SHC1"
Phototransduction Pathway,0.302,0.0189,#NUM!,OPN3
IL-12 Signaling and Production in Macrophages,0.291,0.0152,#NUM!,"APOC1,NOS2"
EGF Signaling,0.291,0.0182,#NUM!,SHC1
Nicotine Degradation III,0.286,0.0179,#NUM!,CYP1A1
CNTF Signaling,0.28,0.0175,#NUM!,RASD2
Role of CHK Proteins in Cell Cycle Checkpoint Control,0.28,0.0175,#NUM!,CDKN1A
Glutamate Receptor Signaling,0.28,0.0175,#NUM!,GRIK2
MSP-RON Signaling Pathway,0.275,0.0172,#NUM!,NOS2
Cancer Drug Resistance By Drug Efflux,0.275,0.0172,#NUM!,RASD2
PI3K Signaling in B Lymphocytes,0.272,0.0145,#NUM!,"INPP5D,RASD2"
Endometrial Cancer Signaling,0.265,0.0167,#NUM!,RASD2
SPINK1 Pancreatic Cancer Pathway,0.265,0.0167,#NUM!,CPM
Induction of Apoptosis by HIV1,0.26,0.0164,#NUM!,TNFRSF1B
Autophagy,0.26,0.0164,#NUM!,CTSV
Activation of IRF by Cytosolic Pattern Recognition Receptors,0.252,0.0159,#NUM!,IFIT2
Phospholipases,0.252,0.0159,#NUM!,PLAAT4
CD40 Signaling,0.243,0.0154,#NUM!,MAP2K6
Netrin Signaling,0.243,0.0154,#NUM!,CACNA1E
Pyridoxal 5'-phosphate Salvage Pathway,0.243,0.0154,#NUM!,MAP2K6
Nicotine Degradation II,0.243,0.0154,#NUM!,CYP1A1
Regulation of Cellular Mechanics by Calpain Protease,0.243,0.0154,#NUM!,RASD2
Mitotic Roles of Polo-Like Kinase,0.239,0.0152,#NUM!,PLK2
Cell Cycle: G1/S Checkpoint Regulation,0.234,0.0149,#NUM!,CDKN1A
Phagosome Maturation,0.234,0.0132,#NUM!,"CTSV,TUBA4A"
Remodeling of Epithelial Adherens Junctions,0.231,0.0147,#NUM!,TUBA4A
IL-10 Signaling,0.226,0.0145,#NUM!,MAP2K6
SPINK1 General Cancer Pathway,0.226,0.0145,#NUM!,RASD2
Melatonin Signaling,0.215,0.0139,#NUM!,MAP2K6
Actin Nucleation by ARP-WASP Complex,0.215,0.0139,#NUM!,RASD2
Non-Small Cell Lung Cancer Signaling,0.212,0.0137,#NUM!,RASD2
Estrogen-Dependent Breast Cancer Signaling,0.208,0.0135,#NUM!,RASD2
Natural Killer Cell Signaling,0,0.0102,#NUM!,"PAK6,RASD2"
Mitochondrial Dysfunction,0,0.00585,#NUM!,LRRK2
Regulation of Actin-based Motility by Rho,0,0.0106,#NUM!,PAK6
Role of BRCA1 in DNA Damage Response,0,0.0125,#NUM!,CDKN1A
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes,0,0.0106,#NUM!,INPP5D
Role of NFAT in Regulation of the Immune Response,0,0.00552,#NUM!,RASD2
NF-κB Activation by Viruses,0,0.0122,#NUM!,RASD2
CCR5 Signaling in Macrophages,0,0.0106,#NUM!,CACNA1E
fMLP Signaling in Neutrophils,0,0.00862,#NUM!,RASD2
CTLA4 Signaling in Cytotoxic T Lymphocytes,0,0.0112,#NUM!,CD8A
IL-15 Production,0,0.00826,#NUM!,MAP2K6
Dendritic Cell Maturation,0,0.00546,#NUM!,TNFRSF1B
Neuropathic Pain Signaling In Dorsal Horn Neurons,0,0.0099,#NUM!,GPR37
Human Embryonic Stem Cell Pluripotency,0,0.00741,#NUM!,PDGFB
Aldosterone Signaling in Epithelial Cells,0,0.00633,#NUM!,HSPB8
mTOR Signaling,0,0.00476,#NUM!,RASD2
Pancreatic Adenocarcinoma Signaling,0,0.00917,#NUM!,CDKN1A
Communication between Innate and Adaptive Immune Cells,0,0.0104,#NUM!,CD8A
Crosstalk between Dendritic Cells and Natural Killer Cells,0,0.0112,#NUM!,TNFRSF1B
Systemic Lupus Erythematosus Signaling,0,0.00873,#NUM!,"INPP5D,RASD2"
EIF2 Signaling,0,0.00893,#NUM!,"RASD2,SHC1"
Ovarian Cancer Signaling,0,0.00719,#NUM!,RASD2
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis,0,0.0111,#NUM!,SPP1
Protein Kinase A Signaling,0,0.0126,-1,"ADCY2,ADCY8,H1-2,MYLK3,PTPN3"
Regulation of eIF4 and p70S6K Signaling,0,0.0127,#NUM!,"RASD2,SHC1"
RANK Signaling in Osteoclasts,0,0.0114,#NUM!,MAP2K6
Neuroprotective Role of THOP1 in Alzheimer's Disease,0,0.00855,#NUM!,SERPINA3
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes,0,0.0112,#NUM!,RASD2
PKCθ Signaling in T Lymphocytes,0,0.0129,#NUM!,"CACNA1E,RASD2"
Cyclins and Cell Cycle Regulation,0,0.0123,#NUM!,CDKN1A
Signaling by Rho Family GTPases,0,0.0123,#NUM!,"CDH15,CDH5,PAK6"
D-myo-inositol-5-phosphate Metabolism,0,0.00641,#NUM!,ACP5
"D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis",0,0.00709,#NUM!,ACP5
Superpathway of Inositol Phosphate Compounds,0,0.0101,#NUM!,"ACP5,INPP5D"
"D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis",0,0.00709,#NUM!,ACP5
3-phosphoinositide Degradation,0,0.0129,#NUM!,"ACP5,INPP5D"
3-phosphoinositide Biosynthesis,0,0.00606,#NUM!,ACP5
Antioxidant Action of Vitamin C,0,0.00917,#NUM!,PLAAT4
Sperm Motility,0,0.00897,#NUM!,"MAP2K6,PLAAT4"
Tec Kinase Signaling,0,0.0061,#NUM!,PAK6
Adipogenesis pathway,0,0.00746,#NUM!,DLK1
Protein Ubiquitination Pathway,0,0.00366,#NUM!,HSPB8
Chemokine Signaling,0,0.0125,#NUM!,RASD2
BMP signaling pathway,0,0.0118,#NUM!,RASD2
IL-7 Signaling Pathway,0,0.0128,#NUM!,SHC1
Neuroinflammation Signaling Pathway,0,0.01,#NUM!,"CD200,IRAK2,NOS2"
Th17 Activation Pathway,0,0.011,#NUM!,IRAK2
T Cell Exhaustion Signaling Pathway,0,0.0114,#NUM!,"RASD2,TBX21"
Systemic Lupus Erythematosus In T Cell Signaling Pathway,0,0.012,1,"ICOSLG/LOC102723996,MAP2K6,NOS2,RASD2"
Necroptosis Signaling Pathway,0,0.00637,#NUM!,TNFRSF1B
Calcium Signaling,0,0.00971,#NUM!,"CACNA1E,CHRNA9"
